物品名称,金,木,水,火,土
tropical_fish_spawn_egg ,13,20,20,21,21
turtle_spawn_egg ,20,12,13,16,15
vex_spawn_egg ,16,13,11,11,19
villager_spawn_egg ,21,16,14,16,15
vindicator_spawn_egg ,19,12,17,14,11
wandering_trader_spawn_egg ,15,14,16,20,18
witch_spawn_egg ,19,18,17,19,20
wither_skeleton_spawn_egg ,19,21,20,13,13
wolf_spawn_egg ,15,12,21,18,18
zombie_spawn_egg ,16,18,11,12,13
zombie_horse_spawn_egg ,18,12,21,12,14
zombie_pigman_spawn_egg ,14,21,14,15,16
zombie_villager_spawn_egg ,16,13,15,18,13
experience_bottle ,40,7,16,7,20
fire_charge ,7,12,11,21,18
writable_book ,11,40,31,6,11
written_book ,10,39,28,10,16
emerald ,19,6,4,1,13
item_frame ,8,20,1,7,2
flower_pot ,11,12,15,18,18
carrot ,7,16,14,4,8
potato ,8,16,8,4,14
baked_potato ,9,9,10,9,12
poisonous_potato ,1,18,11,2,16
map ,9,24,14,23,17
golden_carrot ,12,9,13,2,12
skeleton_skull ,3,17,2,15,13
wither_skeleton_skull ,9,11,2,23,17
player_head ,5,14,4,20,14
zombie_head ,3,14,6,15,12
creeper_head ,2,14,5,15,12
dragon_head ,31,31,36,36,3
carrot_on_a_stick ,16,15,14,9,15
nether_star ,47,49,44,41,45
pumpkin_pie ,10,11,17,19,16
firework_rocket ,9,9,6,24,9
firework_star ,19,17,5,22,16
enchanted_book ,2,31,18,11,19
quartz ,24,10,12,25,12
tnt_minecart ,10,15,9,13,18
hopper_minecart ,47,7,1,6,7
prismarine_shard ,26,8,24,11,7
prismarine_crystals ,37,5,36,30,4
rabbit ,11,18,18,19,11
cooked_rabbit ,7,16,11,23,12
rabbit_stew ,7,21,12,14,18
rabbit_foot ,5,11,11,18,13
rabbit_hide ,5,12,20,9,18
armor_stand ,9,18,17,18,12
iron_horse_armor ,28,7,7,11,1
golden_horse_armor ,29,7,1,5,6
diamond_horse_armor ,40,8,1,8,11
leather_horse_armor ,17,10,1,10,1
lead ,4,19,9,16,2
name_tag ,10,20,15,4,3
command_block_minecart ,74,80,81,71,76
mutton ,11,18,11,7,17
cooked_mutton ,10,20,9,14,15
white_banner ,15,15,19,17,16
orange_banner ,18,20,18,12,12
magenta_banner ,16,21,20,19,16
light_blue_banner ,20,22,14,20,22
yellow_banner ,21,19,14,18,16
lime_banner ,21,19,22,18,18
pink_banner ,18,15,24,20,18
gray_banner ,21,17,23,23,20
light_gray_banner ,17,25,22,20,20
cyan_banner ,27,27,22,20,26
purple_banner ,23,26,20,29,25
blue_banner ,27,29,26,30,21
brown_banner ,21,25,27,26,21
green_banner ,27,22,30,26,30
red_banner ,26,28,33,33,30
black_banner ,32,34,32,24,29
end_crystal ,46,31,48,55,26
chorus_fruit ,2,18,9,15,13
popped_chorus_fruit ,9,21,7,18,19
beetroot ,4,16,16,2,7
beetroot_seeds ,11,13,15,9,14
beetroot_soup ,5,19,19,19,6
dragon_breath ,5,11,16,31,9
splash_potion ,16,16,15,15,16
spectral_arrow ,27,10,13,17,11
tipped_arrow ,30,17,21,16,14
lingering_potion ,14,10,16,15,16
shield ,18,24,6,7,17
elytra ,34,31,39,16,14
spruce_boat ,4,31,10,11,10
birch_boat ,1,31,8,7,8
jungle_boat ,10,31,5,3,4
acacia_boat ,9,27,4,10,4
dark_oak_boat ,10,29,5,9,2
totem_of_undying ,48,12,14,13,29
shulker_shell ,1,25,11,29,5
iron_nugget ,15,9,7,4,8
knowledge_book ,9,13,16,8,5
debug_stick ,10,39,11,7,6
music_disc_13 ,16,6,7,8,4
music_disc_cat ,21,8,7,11,6
music_disc_blocks ,20,6,10,13,9
music_disc_chirp ,28,4,4,13,13
music_disc_far ,20,15,9,6,13
music_disc_mall ,23,12,13,7,9
music_disc_mellohi ,22,9,11,14,12
music_disc_stal ,25,14,16,18,12
music_disc_strad ,31,19,12,12,13
music_disc_ward ,26,19,18,14,11
music_disc_11 ,30,21,20,19,13
music_disc_wait ,33,12,17,20,14
trident ,35,20,33,8,17
phantom_membrane ,7,14,16,10,12
nautilus_shell ,7,14,17,4,4
heart_of_the_sea ,38,14,44,10,8
crossbow ,28,41,6,13,1
suspicious_stew ,1,18,19,1,21
loom ,7,19,14,2,17
flower_banner_pattern ,2,6,10,8,12
creeper_banner_pattern ,11,11,13,3,10
skull_banner_pattern ,5,11,5,10,11
mojang_banner_pattern ,11,7,9,8,13
globe_banner_pattern ,1,13,7,11,15
barrel ,11,24,6,5,6
smoker ,8,19,14,22,13
blast_furnace ,11,17,7,17,16
cartography_table ,6,29,11,9,13
fletching_table ,10,19,4,11,9
grindstone ,8,15,2,1,2
lectern ,8,25,20,3,7
smithing_table ,21,19,10,8,10
stonecutter ,14,12,3,6,1
bell ,17,10,11,10,11
lantern ,15,6,5,14,2
sweet_berries ,1,15,12,9,15
campfire ,9,21,5,17,13
honeycomb ,3,9,20,10,17
bee_nest ,11,11,18,7,11
beehive ,7,18,13,17,19
honey_bottle ,13,6,11,11,10
honey_block ,28,15,18,19,18
honeycomb_block ,28,15,22,29,25
